symptoms,disease
"sneezing, runny nose",Common Cold
"sneezing, sore throat",Common Cold
"sneezing, mild fever",Common Cold
"sneezing, runny nose, sore throat",Common Cold
"sneezing, runny nose, mild fever",Common Cold
"sneezing, runny nose, cough",Common Cold
"sneezing, runny nose, sore throat, mild fever",Common Cold
"sneezing, runny nose, sore throat, cough",Common Cold
"sneezing, runny nose, sore throat, fatigue",Common Cold
"sneezing, runny nose, sore throat, mild fever, cough",Common Cold
"sneezing, runny nose, sore throat, mild fever, fatigue",Common Cold
"sneezing, runny nose, sore throat, cough, fatigue",Common Cold
"high fever, chills",Flu
"high fever, muscle aches",Flu
"high fever, cough",Flu
"high fever, chills, muscle aches",Flu
"high fever, chills, cough",Flu
"high fever, chills, headache",Flu
"high fever, chills, muscle aches, cough",Flu
"high fever, chills, muscle aches, headache",Flu
"high fever, chills, muscle aches, fatigue",Flu
"high fever, chills, muscle aches, cough, headache",Flu
"high fever, chills, muscle aches, cough, fatigue",Flu
"high fever, chills, muscle aches, headache, fatigue",Flu
"fever, chills",Malaria
"fever, sweating",Malaria
"fever, headache",Malaria
"fever, chills, sweating",Malaria
"fever, chills, headache",Malaria
"fever, chills, nausea",Malaria
"fever, chills, sweating, headache",Malaria
"fever, chills, sweating, nausea",Malaria
"fever, chills, sweating, vomiting",Malaria
"fever, chills, sweating, headache, nausea",Malaria
"fever, chills, sweating, headache, vomiting",Malaria
"fever, chills, sweating, nausea, vomiting",Malaria
"fever, severe headache",Dengue
"fever, joint pain",Dengue
"fever, rash",Dengue
"fever, severe headache, joint pain",Dengue
"fever, severe headache, rash",Dengue
"fever, severe headache, nausea",Dengue
"fever, severe headache, joint pain, rash",Dengue
"fever, severe headache, joint pain, nausea",Dengue
"fever, severe headache, joint pain, vomiting",Dengue
"fever, severe headache, joint pain, rash, nausea",Dengue
"fever, severe headache, joint pain, rash, vomiting",Dengue
"fever, severe headache, joint pain, nausea, vomiting",Dengue
"high fever, abdominal pain",Typhoid
"high fever, headache",Typhoid
"high fever, loss of appetite",Typhoid
"high fever, abdominal pain, headache",Typhoid
"high fever, abdominal pain, loss of appetite",Typhoid
"high fever, abdominal pain, constipation",Typhoid
"high fever, abdominal pain, headache, loss of appetite",Typhoid
"high fever, abdominal pain, headache, constipation",Typhoid
"high fever, abdominal pain, headache, fatigue",Typhoid
"high fever, abdominal pain, headache, loss of appetite, constipation",Typhoid
"high fever, abdominal pain, headache, loss of appetite, fatigue",Typhoid
"high fever, abdominal pain, headache, constipation, fatigue",Typhoid
"shortness of breath, wheezing",Asthma
"shortness of breath, chest tightness",Asthma
"shortness of breath, cough",Asthma
"shortness of breath, wheezing, chest tightness",Asthma
"shortness of breath, wheezing, cough",Asthma
"shortness of breath, wheezing, difficulty breathing",Asthma
"shortness of breath, wheezing, chest tightness, cough",Asthma
"shortness of breath, wheezing, chest tightness, difficulty breathing",Asthma
"shortness of breath, wheezing, cough, difficulty breathing",Asthma
"shortness of breath, wheezing, chest tightness, cough, difficulty breathing",Asthma
"frequent urination, increased thirst",Diabetes
"frequent urination, fatigue",Diabetes
"frequent urination, blurred vision",Diabetes
"frequent urination, increased thirst, fatigue",Diabetes
"frequent urination, increased thirst, blurred vision",Diabetes
"frequent urination, increased thirst, slow wound healing",Diabetes
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"frequent urination, increased thirst, fatigue, slow wound healing",Diabetes
"frequent urination, increased thirst, blurred vision, slow wound healing",Diabetes
"frequent urination, increased thirst, fatigue, blurred vision, slow wound healing",Diabetes
"high blood pressure, headache",Hypertension
"high blood pressure, dizziness",Hypertension
"high blood pressure, blurred vision",Hypertension
"high blood pressure, headache, dizziness",Hypertension
"high blood pressure, headache, blurred vision",Hypertension
"high blood pressure, headache, nosebleeds",Hypertension
"high blood pressure, headache, dizziness, blurred vision",Hypertension
"high blood pressure, headache, dizziness, nosebleeds",Hypertension
"high blood pressure, headache, blurred vision, nosebleeds",Hypertension
"high blood pressure, headache, dizziness, blurred vision, nosebleeds",Hypertension
"severe headache, nausea",Migraine
"severe headache, sensitivity to light",Migraine
"severe headache, sensitivity to sound",Migraine
"severe headache, nausea, sensitivity to light",Migraine
"severe headache, nausea, sensitivity to sound",Migraine
"severe headache, nausea, blurred vision",Migraine
"severe headache, nausea, sensitivity to light, sensitivity to sound",Migraine
"severe headache, nausea, sensitivity to light, blurred vision",Migraine
"severe headache, nausea, sensitivity to sound, blurred vision",Migraine
"severe headache, nausea, sensitivity to light, sensitivity to sound, blurred vision",Migraine
"fatigue, pale skin",Anemia
"fatigue, shortness of breath",Anemia
"fatigue, dizziness",Anemia
"fatigue, pale skin, shortness of breath",Anemia
"fatigue, pale skin, dizziness",Anemia
"fatigue, pale skin, cold hands and feet",Anemia
"fatigue, pale skin, shortness of breath, dizziness",Anemia
"fatigue, pale skin, shortness of breath, cold hands and feet",Anemia
"fatigue, pale skin, dizziness, cold hands and feet",Anemia
"fatigue, pale skin, shortness of breath, dizziness, cold hands and feet",Anemia
"cough, mucus production",Bronchitis
"cough, fatigue",Bronchitis
"cough, shortness of breath",Bronchitis
"cough, mucus production, fatigue",Bronchitis
"cough, mucus production, shortness of breath",Bronchitis
"cough, mucus production, slight fever",Bronchitis
"cough, mucus production, fatigue, shortness of breath",Bronchitis
"cough, mucus production, fatigue, slight fever",Bronchitis
"cough, mucus production, fatigue, chest discomfort",Bronchitis
"cough, mucus production, fatigue, shortness of breath, slight fever",Bronchitis
"cough, mucus production, fatigue, shortness of breath, chest discomfort",Bronchitis
"cough, mucus production, fatigue, slight fever, chest discomfort",Bronchitis
"chest pain, cough",Pneumonia
"chest pain, fever",Pneumonia
"chest pain, shortness of breath",Pneumonia
"chest pain, cough, fever",Pneumonia
"chest pain, cough, shortness of breath",Pneumonia
"chest pain, cough, fatigue",Pneumonia
"chest pain, cough, fever, shortness of breath",Pneumonia
"chest pain, cough, fever, fatigue",Pneumonia
"chest pain, cough, fever, sweating",Pneumonia
"chest pain, cough, fever, shortness of breath, fatigue",Pneumonia
"chest pain, cough, fever, shortness of breath, sweating",Pneumonia
"chest pain, cough, fever, fatigue, sweating",Pneumonia
"diarrhea, vomiting",Gastroenteritis
"diarrhea, stomach cramps",Gastroenteritis
"diarrhea, fever",Gastroenteritis
"diarrhea, vomiting, stomach cramps",Gastroenteritis
"diarrhea, vomiting, fever",Gastroenteritis
"diarrhea, vomiting, nausea",Gastroenteritis
"diarrhea, vomiting, stomach cramps, fever",Gastroenteritis
"diarrhea, vomiting, stomach cramps, nausea",Gastroenteritis
"diarrhea, vomiting, stomach cramps, dehydration",Gastroenteritis
"diarrhea, vomiting, stomach cramps, fever, nausea",Gastroenteritis
"diarrhea, vomiting, stomach cramps, fever, dehydration",Gastroenteritis
"diarrhea, vomiting, stomach cramps, nausea, dehydration",Gastroenteritis
"persistent cough, weight loss",Tuberculosis
"persistent cough, night sweats",Tuberculosis
"persistent cough, fever",Tuberculosis
"persistent cough, weight loss, night sweats",Tuberculosis
"persistent cough, weight loss, fever",Tuberculosis
"persistent cough, weight loss, fatigue",Tuberculosis
"persistent cough, weight loss, night sweats, fever",Tuberculosis
"persistent cough, weight loss, night sweats, fatigue",Tuberculosis
"persistent cough, weight loss, night sweats, chest pain",Tuberculosis
"persistent cough, weight loss, night sweats, fever, fatigue",Tuberculosis
"persistent cough, weight loss, night sweats, fever, chest pain",Tuberculosis
"persistent cough, weight loss, night sweats, fatigue, chest pain",Tuberculosis
"fatigue, weight gain",Hypothyroidism
"fatigue, cold intolerance",Hypothyroidism
"fatigue, dry skin",Hypothyroidism
"fatigue, weight gain, cold intolerance",Hypothyroidism
"fatigue, weight gain, dry skin",Hypothyroidism
"fatigue, weight gain, constipation",Hypothyroidism
"fatigue, weight gain, cold intolerance, dry skin",Hypothyroidism
"fatigue, weight gain, cold intolerance, constipation",Hypothyroidism
"fatigue, weight gain, cold intolerance, depression",Hypothyroidism
"fatigue, weight gain, cold intolerance, dry skin, constipation",Hypothyroidism
"fatigue, weight gain, cold intolerance, dry skin, depression",Hypothyroidism
"fatigue, weight gain, cold intolerance, constipation, depression",Hypothyroidism
"itchy rash, fever",Chickenpox
"itchy rash, fatigue",Chickenpox
"itchy rash, loss of appetite",Chickenpox
"itchy rash, fever, fatigue",Chickenpox
"itchy rash, fever, loss of appetite",Chickenpox
"itchy rash, fever, headache",Chickenpox
"itchy rash, fever, fatigue, loss of appetite",Chickenpox
